ID,y
1,83.09455
2,97.08442
3,83.16127
4,77.12079
5,112.45201
8,91.87832
10,99.49127
11,94.64434
12,117.425896
14,95.98387
15,116.23365
16,105.66506
17,100.88675
19,91.2587
20,100.28379
21,104.31628
22,118.74337
23,100.88675
26,96.26929
28,96.508514
29,100.88675
33,100.88675
35,94.31716
41,100.83174
42,94.59438
43,113.84629
45,102.18415
46,100.98088
51,94.47267
53,84.52913
55,109.49695
56,105.054016
57,109.8386
58,98.82097
59,103.61144
63,105.435585
64,94.68685
65,100.83759
69,96.958084
71,99.44929
72,104.88984
73,96.71466
76,104.63214
77,96.95099
78,115.7178
82,94.24052
83,100.83759
84,100.70887
85,106.82249
87,110.903496
88,100.83174
89,110.26594
91,97.562355
93,102.25218
94,104.88287
95,101.52613
96,111.3836
97,95.31608
98,109.72489
99,98.76149
101,105.86559
103,110.26594
104,93.50974
105,109.94879
110,97.28756
111,102.72329
113,104.615326
114,96.776634
115,111.08333
117,110.26594
120,95.8379
121,113.35552
122,94.13748
123,106.43051
126,108.64735
132,109.170425
135,110.941765
137,102.585266
138,95.07647
140,103.942764
142,108.4545
144,111.06565
148,91.791245
149,114.9718
155,103.342995
156,111.80583
157,95.31608
162,113.864525
163,95.74345
167,94.50504
172,113.84629
179,107.395966
180,94.18635
181,108.16567
182,96.9292
183,110.26594
185,110.26594
187,107.19219
188,92.9579
189,94.55079
191,93.58659
192,103.42458
193,93.70748
194,108.15164
195,94.806755
196,99.29591
198,108.823044
199,111.13378
201,100.00156
204,95.055595
205,106.16277
206,106.521835
210,97.23788
211,105.86559
216,111.95989
219,117.425896
220,92.77401
221,109.31519
226,108.16567
227,92.55154
228,110.53578
230,109.962074
231,95.31608
235,118.74337
236,98.54502
238,112.04655
242,104.35421
243,94.19294
244,79.39857
245,110.648575
247,116.49118
248,95.044754
249,91.274254
250,113.64382
251,98.54502
253,118.74337
254,94.9258
256,95.26429
257,92.096756
258,109.14136
259,98.3065
262,91.735146
266,102.060326
267,113.05103
272,103.9082
273,110.26594
275,93.910034
276,108.977806
279,92.76161
280,100.83759
283,92.72869
285,110.1875
288,110.26594
289,109.10832
290,100.40561
291,95.33883
292,105.22656
293,105.85932
296,93.85984
297,105.666595
298,115.780876
299,93.861984
304,91.83201
305,87.25847
306,95.10578
307,109.22655
311,104.00594
313,109.239296
314,92.38339
316,110.066986
324,111.98639
327,98.643524
329,92.62433
330,110.00822
337,97.57492
338,95.048
339,99.99484
340,93.42921
343,93.62042
345,116.09281
346,96.366
347,112.16355
349,110.20522
350,94.72489
352,102.94916
353,92.680145
354,91.25031
357,95.38618
358,107.522316
362,108.19787
364,104.12288
365,101.743546
366,101.83575
367,106.74311
368,93.93379
370,81.421814
373,99.21287
377,93.83933
378,107.6638
382,104.63214
384,110.76257
390,97.16927
392,111.80337
393,113.1743
395,94.213806
396,96.90798
399,80.55488
406,109.239296
408,109.239296
409,95.184746
410,80.509895
412,112.78643
413,89.60548
419,100.07826
420,105.4693
421,90.0226
430,105.99897
434,93.512856
436,94.762955
437,102.43975
438,90.7333
439,111.42827
440,101.83501
443,101.20211
446,95.1056
448,93.15651
452,94.34884
453,108.678535
457,99.36597
458,94.50677
459,114.25786
460,103.907364
462,103.847244
464,101.324524
465,117.425896
467,112.82982
471,107.023476
472,77.11364
473,104.9304
475,95.84238
480,102.36967
488,105.65723
490,109.22655
491,104.838684
492,83.424034
493,97.55125
497,94.103935
498,107.842415
499,94.372665
500,100.92489
501,94.592064
502,111.30577
506,88.48136
510,107.87508
511,90.679474
512,93.68424
516,93.461876
518,97.35756
519,112.145935
521,91.39762
522,111.516815
526,114.450516
529,109.629425
532,112.27399
533,95.08731
536,111.309456
537,94.95488
539,94.92095
540,105.409294
541,96.827324
543,93.43951
546,109.8144
547,98.621315
548,91.542984
551,94.71177
552,107.391075
556,100.9936
557,101.61032
558,106.74311
559,93.71282
560,105.63584
562,104.941574
566,98.33588
570,107.842415
571,102.43975
572,100.83759
573,93.47767
575,117.425896
576,108.98361
577,95.52101
579,90.58837
580,112.224655
581,108.70992
589,109.22655
591,101.68665
593,94.556816
594,105.27385
595,94.993996
598,94.51321
602,106.77739
604,112.33263
606,109.01765
608,101.80896
609,105.86559
610,96.56496
616,107.88964
617,94.17274
618,107.7106
620,106.89357
622,102.082565
623,88.8744
624,109.07099
626,112.64212
628,111.7886
629,97.2927
630,109.962074
637,91.924194
638,101.87016
643,105.5738
645,102.36967
646,112.318634
648,94.85046
652,100.10783
653,100.79795
654,107.842415
656,111.00054
657,104.88826
659,100.216896
660,109.66448
663,93.24424
664,110.30745
666,107.40461
668,104.52676
669,94.19013
671,95.18226
675,90.6904
